seg1,seg2,label,contradiction type,issues?
It is said color is attached to one's personality.  My favorite color is Yellow.  What is yours?,Me either.  My favorite color is blue.,self-contradiction,negation,
That's pure talent! I wonder when he'll retire?,Kobe is not that good though,self-contradiction,N-a,not necessarily a contradiction
"I would say so, it's nice to stay active. I just wish my commute wasn't an hour long.",I carpool as short distance with coworkers.,self-contradiction,negation,
my favorite is mac cheese !,yeah I like chicken but hate mac and cheese,self-contradiction,antonymy,
"my favorite thing to bake is lasagna an bread sticks , all home made .",Pizza is my absolute favourite thing to bake!,self-contradiction,negation,
"yes, i see a lot of that here on campus",I hope to visit the campus someday.,self-contradiction,lexical,
Her birthday was yesterday and I was too busy with work. She was upset that I forgot her birthday.,"I'm about heading out to get a gift for my wife, her birthday is tomorrow.",self-contradiction,negation,
Its hot and sunny here right now. Typical Miami day. ,I live alonein Birmingham with my hamster.,self-contradiction,lexical,
"I absolutely love to bake! It is one of my favorite hobbies! I like baking cookies, cases, and breads.",I really don't know anything about baking so I couldn't tell you,self-contradiction,negation,
"I have heard of him before, isn't he french?",Thanks for letting me know about him. Never heard of him before,self-contradiction,negation,Missing Context
That sounds interesting! I always wondered how butter was made and why humans drink another animals milk!,Totally agree! I made butter during spare time and it tasted great.,self-contradiction,lexical,not necessarily a contradiction
I recently hit a new personal record at the gym! I was very excited.,"Yeah I agree, I need to find a gym and be a lot more consistent. ",self-contradiction,lexical,
My favorite composer is Beethoven. I can't believe he was deaf when he conducted many of his famous pieces.,"Yeah, I don't really care for Beethoven or classical music. I'm more of a rock and roll kind of guy. ",self-contradiction,negation,
"Well, the two second rule might apply here, in does here in london","No, I’m in the United States.",self-contradiction,negation,
nice. maybe you can use to that to sneakily buy some beers sometimes hahaha,that wouldn't be a problem. i'm 25 so i can just go in and buy it,self-contradiction,lexical,Missing Context
"lol , i just figured that out . this is my first hit on this requestor",My son is the first of his class in Math ,self-contradiction,N-a,Missing Context
i do not know how to swim. i am afrad of water,I'm a great swimmer! I took lessons as a young child and competed on the swim team!,self-contradiction,negation,
Cajun Chicken Pasta. OH man it's good,"It's very underrated, and way better than Cajun Chicken Pasta, which I hate.",self-contradiction,lexical,
Tokyo seems like an amazing city!,I am not a big fan of Japan. It seems crowded and boring to be honest.,self-contradiction,negation,
I’m a doctor. ,My cat’s name is Bella and she is really very huge!,self-contradiction,N-a,Missing Context
"then perhaps it was for the best that you were adopted, you could find faith in that","Yeah, it probably would have been better if you weren't adopted. ",self-contradiction,negation,
"What a great thing to have,  I glad you're able to keep his memory alive like that. :)",I don't think you should keep that. It could make you depressed...,self-contradiction,negation,Missing Context
"ooh,  am so sorry about that. Have you tried to talk to her?",I wouldn't even bother talking to her.,self-contradiction,structure,
Oh that's very nice! He must work very hard then!,"There's nothing nice about what your husband does, my friend , i consider him to be very lazy",self-contradiction,antonymy,Missing Context
"I love chocolate, but my favorite food is pizza! ",Pizza isn't all that at times though. It's good but I prefer other food more.,self-contradiction,lexical,
Must be nice to have a family. My favorite food is pizza but having a family to cook for would be nice,Pizza is gross. ,self-contradiction,negation,
"I moved over the weekend.  Although it took about 5 hours to load the truck,  when we unloaded the next day it took a little under an hour.",My last move I was able to unload my stuff in less than an hour. ,self-contradiction,N-a,not really a contradiction
Skiing is the sport I like most.,Oh that's great! Surfing is the sport I like the most.,self-contradiction,lexical,
"I have been called a perfectionist at times, always trying to achieve high standards without flaws. Do you also experience this or know someone who does?",That sounds good. I'm very lax when it comes to goals and perfection.,self-contradiction,lexical,
the police dept could not help me fine out what happened.,Yes. The police already found out the person broke in through an open window. It turns out it was the guy next door. ,self-contradiction,negation,
"In 1956, Elvis released his first single called ""Heartbreak Hotel.""  It instantly became a number one hit.  His popularity led him to tv appearances and even movies.  ",Dont really know much about him,self-contradiction,negation,Missing Context
Not yet but I actually was planning a trip there this summer. I guess I can check out the biking scene first hand!,"I know, I have been to British Columbia many times before.",self-contradiction,lexical,Missing Context
"i read the cat in the hat the other day. but due to being no concrete laws in reading, it allows readers an escape to produce their own products intospectively.",I've never read any Dr. Seuss books. I'd like to try one.,self-contradiction,WK,
"That's cool,  a good relationship is based on trust ","I see, well good relationships don't always have to have trust.",self-contradiction,negation,
Androids for some reason hold more capacity and are faster then Iphones,"You are right, Iphones are slower and I hate Androids too.",self-contradiction,N-a,not really a contradiction
I love the color Green! It happens to be my favorite.,"Not really, but I don't like that color in general so I could be biased. ",self-contradiction,negation,Missing Context
well i do have a lot of cats now,Really? I probably would do that too if I had a cat.,self-contradiction,structure,
"I agree, I read it nearly every day along with The Economist. I enjoy it with my lunch. ",I don't know any Pulitzer Prize winnders.,self-contradiction,N-a,Missing Context
It is produced in Dublin and Mallusk in Northern Ireland.,It is produced in Germany really.,self-contradiction,factive,
"Then she will potentially one day work for the NPS? That would be such a cool job, i mean they probably have tens of thousands employees","I wish her luck, that job is going to be a nightmare.",self-contradiction,lexical,Missing Context
Ooh!! Interesting!,I think using a bow and shooting arrows is boring.,self-contradiction,antonymy,
yea it didnt but it was a pain,"Yeah, it hurt for over two hours!",self-contradiction,negation,Missing Context
I do a lot of my shopping online,"It does, but it's so much easier to go to the stores. I hardly ever shop online. ",self-contradiction,lexical,
A good customer experience means  individual's expectations so i would make sure the customer gets the best product,I would tell him that the product is used by the majority of people and we can't tailor it to his expectations,self-contradiction,lexical,
Would you believe me if I told you I had a turtle when I was a kid and my sister ate it?,I only had brothers growing up.,self-contradiction,lexical,
very nice but its from my bad job,i HAVE NEVER HAD A JOB JUST VOLUNTEER WORK.,self-contradiction,negation,
"I'm sure that is hard, glad she's continuing her education though.",Sometimes I get frustrated because the accident disrupts her education.,self-contradiction,antonymy,
Me too!  I named my cat after Simba!,"If I had a pet, i would totally name him/her Simba.  ",self-contradiction,structure,
i want to but i'm a male 45 year old who was an alcoholic,Why do you think I am old?  My age is 25 years.,self-contradiction,numeric,
"Hans Christian Andersen's fairy tale ""The Snow Queen"". inspired the movie and i think it was bomb","I wouldn't waste my time on that, if I were you.  Frozen is kind of lame.",self-contradiction,lexical,
"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee with his family when he was at the age of 13.",Can't help falling in love is my favorite song from Elvis.,self-contradiction,N-a,Missing Context
That's horrible. I have never been married but my girlfriend was having an affair with a friend of mine. It's rough sometimes huh?,"Very true, I’m thankful I have never been cheated on.",self-contradiction,negation,
"Luckily they do make quite a lot of noise. Unlike other snakes, they can't sneak up on you!",I wouldn't know since I've never seen a rattlesnake. ,self-contradiction,lexical,not necessarily a contradiction
lol yeah our minds can play tricks on us when we're nervous. I'm glad it was nothing serious though.,You're kind of a wimp for being scared at all. I can't believe you were nervous.,self-contradiction,negation,Missing Context
That's amazing and a very quick profit!  I'm a little bit jealous myself.  ,"No. It's terrible, and it would gentrify our neighborhood.",self-contradiction,lexical,Missing Context
"nice , i love labs they are mild mannered and not a pain when i walk them .",I don't really like dogs.,self-contradiction,negation,
mine has issues . he is ok with me playing video games though .,I DON'T LIKE VIDEO GAMES,self-contradiction,negation,
i sing in my spare time . i hope to be the best singer there's !,"Oh, I can't sing a single note and I hate sports.",self-contradiction,negation,
"Anyway,  you got it now. I so happy for it. Next you need take a precaution",i feel that is not needed.,self-contradiction,negation,Missing Context
"I see, do they have nougat? I love nougat!",Gross. I think nougat is rather disgusting.,self-contradiction,negation,
i love running ! it helps me to relax .,I hate running! I get bored with my thoughts,self-contradiction,antonymy,
"I'm from Texas, and you? Do they celebrate Halloween where you are from?",No way I'm from Canada too!,self-contradiction,lexical,
"well that's great news congratulations,  how long have you known each other?",That's a very bad news to share.,self-contradiction,antonymy,Missing Context
Card actually co-produced the film adaptation which I thought was quite good. Those are the only two novels I have read by him.,He has written at least 10 books and I have read them all. ,self-contradiction,lexical,Missing Context
oh that sounds like a fascinating place to work at .,my family is fine.,self-contradiction,N-a,Missing Context
I'll try that. Singing it kind of an outlet for me.,"Not for me tho. I don't like singing at all. In fact, I find both singing, and my voice, really annoying.",self-contradiction,negation,
"yeah , i am in san fransisco . out on a beer run right now .","Ew, beer is disgusting.",self-contradiction,lexical,
I don't think I have a bad personality. People have just done me wrong so much that it's hard to be nice anymore.,People are easy to trust and have certainly never done me wrong. ,self-contradiction,negation,
"Astro balkan plain! It's not as pastey as greek yogurt,  or runny like other kinds",I don't really eat yogurt that much but I'd be interested in starting.,self-contradiction,lexical,
I also enjoy camping in the mountains its so cool,I hate going to the mountains in the Fall.,self-contradiction,antonymy,
cool i'm a soccer playa,"No, I do not like any sports, it's boring. ",self-contradiction,negation,
I should go check out my local shelter! I plan to retire in 6 months so I want a new friend and I'd love to train a puppy,"I'm glad I don't have any pets, they are a total pain!  ",self-contradiction,negation,
no i am saving my money for school .,I am done with my studies and i like to continue work in a hotel. ,self-contradiction,lexical,
"No don't, yours cats will end up scratching my pigs.","Yes, the pigs are ugly.",self-contradiction,N-a,Missing Context
"Oh my gosh,  that is terrible! I hope you were able to salvage it.",Maybe you shouldn't have tried to cut it yourself at all then if it was going to look worse than when your friend cut it.,self-contradiction,N-a,Missing Context
"the first child for test in sesame street , i was that !",I'm not sure. I have never seen sesame street. ,self-contradiction,negation,
because sometimes there is no one else at home with me and i dont like being alone,I love being alone.,self-contradiction,negation,
"Yea, labels for music is weird. Like, the term ""rock"" has been so diluted and it means nothing like original ""rock and roll."" And it's only been around since the 50s and 60s.",Yeah but not with rock and roll. it is still the same today as it was 50-60 years ago.,self-contradiction,lexical,
Yeah I went to several of them when I visited DC 10 years ago. They do a good job of serving the general public.,No idea. I wish to go to Paris and DC someday though.,self-contradiction,lexical,
"honestly, not really. i prefer HIT training and classes like bodypump and Barre",I began two years ago and only do yoga now.,self-contradiction,lexical,
Is the genre still popular today?,The genre is not popular today.,self-contradiction,structure,
Where are you from originally.  I'm Filipino,I am Chinese and will be celebrating my girlfriend's birthday and our 5th anniversary today. ,self-contradiction,lexical,
i am 22 . . . . do you work ?,"I know, especially when you're 33 like me.",self-contradiction,numeric,
"haha, aww! I also sing in the shower and use my body wash as a microphone. No shame in my game!","You're right. It is embarrassing when people hear me sing, I am really bad at it. ",self-contradiction,lexical,not necessarily a contradiction
"here in florida , we all love baseball",Probably but I hate baseball just like most people here in South Dakota.,self-contradiction,lexical,
"i have been reading my favorite book again , twilight , you ?",I do not care for Twilight either.,self-contradiction,negation,
I am looking forward to going to the movies later.,"Hiking sounds boring, I'd go to the movies rather than hiking.",self-contradiction,N-a,not really a contradiction
Did he not deflat footballs or something one year?,Yeah he would always make the footballs too full.,self-contradiction,antonymy,
"The city of Portland,Oregon is named after Portland Maine also.","It's not. Portland, Oregon has nothing to do with Portland, Maine. The names are just a coincidence I guess.",self-contradiction,lexical,
"it sure does , and i needed it for my cancer treatments .",Yes. I am in perfect.,self-contradiction,N-a,Missing Context
No it's easy and I taught him to speak pretty fast. ,Well he must be able to speak very well since he had a good teacher.,self-contradiction,N-a,Missing Context
"I need a tutor, I'm finding math class way too hard lol","Nah, I don't need help. This class is easy ",self-contradiction,negation,
My niece went there and loved it. Are you flying in or taking a cruise?,"Nothing. I don't know anyone who's been there, so I don't know much.",self-contradiction,N-a,Missing Context
That's disgusting. I would never eat there again.,Do you want to meet there for lunch this week?,self-contradiction,lexical,Missing Context
"I really do not like popcorn, I do not like any of the six major types of corn either.",I like popcorn.,self-contradiction,negation,
"Yes, audiobooks are great. Have you heard about Carrier language?","No, I don't enjoy audiobooks. They tend to put me to sleep.",self-contradiction,negation,
Is her litter box full? My cat does that when it is too full and I neglect to clean it.,"That's a great idea. Thanks for the tip, I'll be sure to try that if I ever get a cat.",self-contradiction,lexical,
that's cool if you need a loan i'm a banker,"same, i hate the long shifts. i'm an internal medicine doctor and it is hard work",self-contradiction,lexical,
"ok, that sounds interesting,i really like watching star trek",Star Trek is overrated. I hate watching it,self-contradiction,antonymy,
"I have had fresh pasta produced by hand when I lived in Italy, but have not in years",I would love to go to Italy and eat pasta there. I have never been.,self-contradiction,negation,
"Congrats! I'm sure you will,  I love going to the gym. I mainly do cardio.",Not exactly. My doctor told me to be more active but I hate going to gym.,self-contradiction,antonymy,
I'm so glad! When are you due?,I'm very sorry for you. ,self-contradiction,lexical,Missing Context
I think it went pretty well but it,"It went horrible, and I didn't know any of the answers!",self-contradiction,lexical,Missing Context
Any kind of ice cream. What's your favorite flavor?,I hate ice cream so much and i have no favorite ,self-contradiction,negation,Missing Context
What kind of job does he have in the military?,I wasn't really interested in what job he has. ,self-contradiction,structure,
"oh , i like to jog in the morning with my cute dog .",I'm kind of a busy man i hardly participate in any activities. Can't do morning running because of my work schedule and can't even watch TV at home.,self-contradiction,negation,
I love Mcdonalds and could eat three meals a day there,i know but hate junk food that is why i don't eat at Mcdonalds.,self-contradiction,negation,
"I used to have really blonde hair but now it is very brown, which makes sense since it's the 2nd most common human hair color.","It's true. I prefer my hair to be thin, that is why I colored it red.",self-contradiction,lexical,
"I agree completely! I love how that despite their differences, Shrek and Fiona fall in love and get married.",I agree with you because i don't like her acting at all.,self-contradiction,lexical,Missing Context
"nice ! i am in a small suburb outside of detroit , so not the biggest scene .","Wow that's really interesting, kids in Chicago where i stay loves to playing football too",self-contradiction,lexical,
I am so ready to go on vacation. I leave next Friday for the beach. ,"Okay, some sun block should be enough for California.",self-contradiction,N-a,Missing Context
I really want to travel to Canada I have never been,"I don't have any interest in visiting a place like Montreal. For me, it's all about warm beaches, a place like Acapulco.",self-contradiction,lexical,
"i do not have any pets , i am away from home for a long time .",I have three cats.,self-contradiction,negation,
I have never spilled a hot drink on myself before. Weird how that happens.,"Oh yeah, I spilled lots of them back then! Didn't need the hospital, though.",self-contradiction,negation,
"That's a really creative idea! People would probably be shocked if I did that because I'm 6'5"", but I'm a gentle giant. ","Well sure but I've done more skilled projects before though, so that type of project really isn't all that innovative to me. ",self-contradiction,negation,
Awesome. I love Mustangs.  I used to have one.  I'd take my girl to go get chocolate milkshakes and then tear down the highway.,Wow you are lucky I have always wanted to own a mustang!,self-contradiction,structure,
I love using almond flour. Theres four grains that dominated in nordic countries. do you know what they are?,"Yes, it does. I hate using almond flour though. ",self-contradiction,antonymy,
do you wear cardigans ? i do !,Cool. I am not a cardigans person. So I don't wear them.,self-contradiction,negation,
me too . i got an angel tattoo at a music festival once,No. This will be my first time.,self-contradiction,negation,Missing Context
oh okay cool ! ! no siblings but cats are my siblings i've 10 and you ?,"I don't have any cats either, I'm more of a dog person.",self-contradiction,negation,
"My other one is purple, red doesn't look good with my skin tone. Red used to be the color of nobility though!","Oh, I don't like green or purple. My favorite color is red.",self-contradiction,lexical,not necessarily a contradiction
"Yes I love them. It is festival is an outdoor weekend gathering, usually held in the United States,","I hate going to festivals, they are too crowded. ",self-contradiction,antonymy,Missing Context
"Lol, I can totally relate! I am a really bad liar, and think my dog even instinctively picks up on that too.",i hate dogs alot,self-contradiction,negation,
"Yeah, it's so soft. Once you get over the cold, winter is a great season. ","No it's not, it's my least favourite, I prefer the summer. I don't like winter.",self-contradiction,negation,
I like minimalist fashion. I'm interested in textures and shapes,"yes, i love the crazy fashion of the red carpet. minimalist fashion is so boring and i hate it.",self-contradiction,antonymy,
"ha ha , how attractive ? i am pretty eligible . i helped program facebook !",Sounds fun! I learned how to cook from my wife. What do you like to bake?,self-contradiction,N-a,Missing Context
"I used to LOVE going to the gym. My life had some changes recently, it's hard getting back in the swing of things. I do, however walk 30 minutes a day. Do you stick with a certain diet?",I don't need your help I've never been in fitness before and don't understand this at all. ,self-contradiction,negation,
great ! i work at a school as a psychologist . what do you do ?,Nice! I actually dropped out of school to pursue a music career. I want to form a hard rock band.,self-contradiction,negation,
Is it dangerous to view a solar eclispe,Yes last solar eclipse i watched it from my home balcony.,self-contradiction,lexical,
"nope i never been, always wanted to visit though",I didn't get a chance to see that when I visited. ,self-contradiction,negation,Missing Context
"My dog would of looked around like,  wasn't me daddy,  i cross my paws.",Actually I feel allergic to have pets in my home. ,self-contradiction,lexical,
"Nice, I can't get going until I have my black coffee in the morning.",I simply can't have black coffee. My morning starts with spiced up milk tea.,self-contradiction,negation,
Karma will get here someday.,She deserves that money.,self-contradiction,lexical,Missing Context
"Well I was able to avoid it most of the time, but I had to get out to check the tires and couldn't find an umbrella.",I was able to get down and check the tyres with the help of my umbrella.,self-contradiction,structure,
Same here! Who is your team?,I am not interested in watching football match and i know your team.,self-contradiction,structure,
Sounds good. I recently became a vegan so the garden is supplying a lot of my food.,I hope to be a vegan someday. Never tried it,self-contradiction,lexical,
I'd like to think they are. I try to read a wide genre of books. I finished the Kite Runner last night.,"Oh, I haven't read that series. I don't read that many books.",self-contradiction,negation,Missing Context
"Yikes! I know how you feel. Since I'm the oldest, I'm expected to take care of everything. It's tough.",i do not know how you feel.. i am the youngest,self-contradiction,antonymy,
People are so careless.,I'm sure they care,self-contradiction,antonymy,Missing Context
"I have a golden retriever he is a good boy, He loves water and I also train him too which is pretty easy. He is very obedient ","I wish we could,but he's very willful and won't sit still long enough to be in a show.",self-contradiction,lexical,Missing Context
I like to be alone so my girlfriend and I work different shifts. She is a waitress,Sure we work same shift,self-contradiction,lexical,
Don't put too much pression on you. We all make mistakes. ,She will never forgive you for this then.,self-contradiction,lexical,typos
"I used to love all of Madonna's music when I was younge She was referred to as ""The Queen of Pop"" in the 1989s.r.",I really didn't like Madonna's music when I was a young.,self-contradiction,negation,
"Yeah, Harley Davidson bikes always seemed kind of cool to me. Is there anything else you can tell me about them?",Lol. If I get a motorcycle I won't get a Harley Davidson. They seem lame. ,self-contradiction,negation,
"haha Grey's Anatomy, I remember when it was popular. lets watch it!",Can we watch something else? I hate that show.,self-contradiction,lexical,Missing Context
"That's awesome. Frenchie cost a lot of money though. I payed around 7,000 for him.","Yes, he knows a lot of tricks. We saved a lot of money rescuing him from animal control center, only spent about $50. So we had plenty left to spend on training him.",self-contradiction,numeric,Missing Context
I work at the bank,Wow I definitely understand your reasons now for wanting to be a chef. ,self-contradiction,N-a,Missing Context
that's true . are you married ? i am not .,Oh nice.  My wife just graduated from college. ,self-contradiction,negation,
I can't help but be a little jealous. haha,"No, I'm single, but I'm happy. I actually don't envy anyone who's in a committed relationship. I've never been jealous of another couple ever! ",self-contradiction,negation,
"McCartney, he has become one of the most successful composers and performers of all time","I don't like the Beatles, I like Freddie Mercury from Queen.",self-contradiction,lexical,not necessarily a contradiction
Do you like Tool? That's my favorite rock band of all time.,I do not like any rock bands. ,self-contradiction,negation,
oh awesome! exercise is really good for your mental heath,"exercise really isn't that good for you, you need to eat healthier.",self-contradiction,negation,
"I didn't know that. Nevertheless, thanks to Whey, I gained 6.6 pounds of muscle mass",I've been using the Whey for a while now and I'm still loosing muscle mass.,self-contradiction,lexical,
That is great to hear. Sounds like she has good head on her shoulder.,That is not great to hear. I am jealous because my daughter is not doing great this year.,self-contradiction,lexical,Missing Context
I interviewed for a job promotion today.  I am pretty sure I nailed the interview.,I don't really want a promotion at my job. I'd rather keep the same pay. ,self-contradiction,lexical,
"Oh,  is that the newest? I haven't played on one since super nintendo!",That's cool! I was thinking of upgrading from the Wii U to the switch,self-contradiction,lexical,
help  others in critical time,it is really nice job,self-contradiction,N-a,Missing Context
"i do , but soccer is my favorite ! is working on the farm fun ?","That sounds good, but can we play something other than soccer? I hate it. Too much running and it's so hot out. ",self-contradiction,antonymy,
with my luck i'd have to use my inhaler while trying to show out .,Oh I'm not nervous at all!,self-contradiction,lexical,Missing Context
"Hey, do you know anything about Narcissism?",why are you talking about narcissism?,self-contradiction,structure,
really - do you feel confident?,I don't care.,self-contradiction,structure,Missing Context
"Not at the moment, no. My husband and I agreed that we wouldn't have kids until I learned how to start driving.",my kids are so much trouble but i love them,self-contradiction,lexical,
"I understand,  I have 4 cats myself. The oldest is 14.","No, I have never owned any pets before.",self-contradiction,negation,not really a contradiction
"I read an article about Hatebeak the other day, but that's all I know. Death metal's not really my style",I really love viking metal but it's not really considered death metal. ,self-contradiction,negation,not really a contradiction
I have trained for years to become a neurosurgeon.,Me too. I wish that was my occupation.,self-contradiction,structure,Missing Context
I have never seen that show but I have heard of it.,It's going well! Me and my girlfriend just got caught up on This is Us earlier.,self-contradiction,lexical,Missing Context
i have two dogs and a cat,"I don't own a cat, only two dogs.",self-contradiction,negation,
My cat is all grey,"That is good for you, but I don't really like grey cats",self-contradiction,lexical,
taking photos is my favorite thing to do,Why?,self-contradiction,N-a,Missing Context
"If I were to travel to Mars,  it would be with him!",I don't want to go to space!,self-contradiction,lexical,not necessarily a contradiction
"I love science fiction but I've never seen Battlestar Galactica, have you?",I prefer comedy to any other movies. I hate Battlestar Galactica,self-contradiction,lexical,
The horse is black,Do you live in a farm?,self-contradiction,N-a,Missing Context
I enjoy going into the mountains and looking at the leaves in the fall,I hate going to the mountains in the Fall.,self-contradiction,antonymy,
That is the plan. Thanks for the encouragement. I can't wait to help the animals.,"I had a pet cat once but as far as wanting to do anything with animals, I think I'll pass I can't stand the smell of them.",self-contradiction,lexical,
Yeah! Sadly my dogs don't like the water! No doggy kayak!,Sometimes we go to the park but we really like to go swimming at the beach.,self-contradiction,lexical,Missing Context
"Ohh those sound fun! I like sports on the beach a lot. I'm always up for volleyball, soccer, bocce ball, or anything really.","I'm no fan of volleyball. I really don't do sports at all, it takes too much effort",self-contradiction,negation,
The campaign is the best campaign in call of duty history. The multiplayer does have some issues that need to be worked out though.,Don't.  The campaign is terrible.  One of the worst I've played. ,self-contradiction,antonymy,
I love rap music. I'm a fan of Snoop Dogg.,I like pretty much everything except rap music. ,self-contradiction,WK,
"it is freezing outside , i enjoy wearing skinny jeans and leggings . and you ?","no, it's pretty nice out actually so I think I'll go for a nice long jog!",self-contradiction,lexical,
"You should let them know you aren't ok with them doing that.  If they are real friends,  they will stop.","If they are your friends they will never stop, that's what friends do.",self-contradiction,negation,
"That's the best way to do it, avoids the crowds.",Really? I prefer being surrounded by people.,self-contradiction,lexical,
"i've an older sister and a younger sister , we listen to all kinds of music","I am an only child, but I always got alone with my cousins.",self-contradiction,lexical,
"Me too, I want do you thing about their lates album ""Evolve""? I lihe ""Thunder""",I don't like thunder.,self-contradiction,negation,typos
i guess knitting keeps me single,"i also, it applies to me, i better surrounds myself with friends than being single.",self-contradiction,N-a,Missing Context
"True, choices are what molds us. I'm moving to San Diego in a couple of months and only time will tell if that choice is correct.",I have lived in San Diego for the past 3 years.,self-contradiction,lexical,
I'm a Panthers fan,"I hate the Panthers, and I hate football.",self-contradiction,negation,
I have brown as I have stated earlier. Brown varies from light brown to an almost black colour. Actually black hair is the most common colour in the world.,"No, I am perfectly happy as a blonde.",self-contradiction,lexical,Missing Context
"It definitely did! I am a lacto vegetarian, which means I don't eat meat or eggs, but I do consume some dairy products. I couldn't give up cheese!","But when it comes to diet, I completely avoided cheese.",self-contradiction,lexical,
I believe for protection and maybe herding animals. They are awesome to society and are mans best friend.,I don't know.  I don't think dogs are very beneficial to society.,self-contradiction,negation,
"Chocolate is my favorite sweet there is, love it in most food",Chocolate sucks.,self-contradiction,negation,
"my new girlfriend does too , who is your favorite team ?",He's single like me.  Maybe I should look him up!,self-contradiction,lexical,
i would feel the same way,I would feel completely different.,self-contradiction,antonymy,Missing Context
male why do you ask me ?,"Last time I checked, I am a girl!",self-contradiction,antonymy,
smart move ! i don't have 40m but i make ok money as a teacher !,"That sounds great, I travel a lot in my job as a pilot.",self-contradiction,lexical,
I like being busy and helping people is fun.,Yeah I'm shy too and I hate being near other people.,self-contradiction,lexical,
My mom borrowed my car last week. I wasn't worried.,Nor can I,self-contradiction,N-a,Missing Context
its fine ! its nice here in the big city !,"Yea, I love living in my small town and being a teacher",self-contradiction,lexical,
Cool! I haven't been to a circus in years. I think I should go again soon.,i wish i have been to a circus,self-contradiction,lexical,Missing Context
"I don't really like animals, they can be so frustrating ","Thats great, I also enjoy dogs . So a hotel full of puppies would be nice as well.",self-contradiction,negation,
just baking some cookies for a light night snack ! i love baking cookies !,"Nice! I don't like baking very much, but I do like to try out and eat at various different restaurants around town.",self-contradiction,negation,
I am 33 ,Yeah I'd like to be a truck driver when I graduation high school.,self-contradiction,WK,typos
I've been putting in a lot of work teaching my dog how to run an obstacle course. Yesterday he did amazing; he broke his old speed and wasn't distracted a single time while doing the course!,I would never make my dog  run an obstacle course. It is do dangerous.,self-contradiction,negation,
There is a creek nearby here. Fishing at the creek with a beer is the best,I haven't done either of those things ever either,self-contradiction,negation,Missing Context
"Wow,  that's amazing,  haha. So fancy. ",That is just silly being all excited over some noise a baby made.,self-contradiction,lexical,Missing Context
i'm from new york . how about you ?,"I like North Carolina too, that's where I grew up.",self-contradiction,lexical,
BMW also manufactures motorcycles under the brand BMW Motorrad.,BMW manufactures cars only.,self-contradiction,factive,
"i'm currently overseas , i secretly love being deployed for a long time .","Bummer, cars can be harder to drive or less fun if you did not pick the car.",self-contradiction,N-a,Missing Context
i'm doing great . i was feeding stray cats . i love cats .,i really don't like cats,self-contradiction,negation,
"That sounds fun. I like going to remote areas where you need a Visa. Although they usually limit the duration of your stay, as well as the number of times you can enter the country. ","Me too ,I feel like I would rather stay where I am now.",self-contradiction,lexical,
"i can relate , looking for work these days is difficult . what is your profession ?","I'm looking for a job again, i've gotten so good at getting new jobs but I'm so bad at maintaining them. lol.",self-contradiction,lexical,
I haven't had it but it does sound good. I thinki it might add a needed kick to the roll I mentioned. ,I just hate the creole flavors in cream cheese.,self-contradiction,N-a,Missing Context
no but American Civil War reenactments are quite popular in america,The reenactment I went to was run by people interested in American history.,self-contradiction,negation,Missing Context
keep like this ... happy,"Me too, I've recently been to see a therapist that told me it is important to talk about your problems.",self-contradiction,N-a,Missing Context
"Yes, I do!  I think it's an awesome game and I play it every time I go to the casino!",i never go to the casino,self-contradiction,negation,
i love pasta!,How cool. I would get some but i can't stand the taste of pasta.,self-contradiction,negation,
"yea , i like fixing things , i think i could fix the world if i try hard enough",I don't know how to fix things,self-contradiction,negation,
My best friend didn't call me to invite me on his road trip last weekend. I have no idea why he didn't ask it I wanted to go.,Me either.  My friends are great.  My best friend invited me on his road trip and I can't wait!,self-contradiction,negation,
do you ever go hiking ? i enjoy it,"No, I hate it. ",self-contradiction,structure,Missing Context
I'd rather just shut myself in with a good book.,I don't understand why anyone would be that way.,self-contradiction,negation,Missing Context
"I am more active at night, Do you think that there is anything wrong with me?","Well, I should go now. I feel more energized in the morning so I like to get up early to get things done.",self-contradiction,lexical,
"It's an amazing experience depending when you go. In Hawaii, it's really warm.",I have never travelled. I hope to travel to Hawaii one day,self-contradiction,lexical,
"I just got my degree in English, so I am the same way. I always read and re-read over everything I have to write a thousand times.","I hardly ever re-read anything. I think that takes too much time, so I just move on. ",self-contradiction,negation,
"Without a doubt, most drivers are total morons.",Most driver are exceptional and careful when driving. ,self-contradiction,antonymy,
"Yep. Last night was the first time though, has anyone ever broken in to your home",last night i was in a party and i could return home due to lack of taxi and it wasnt safe ,self-contradiction,N-a,Missing Context
I have a cat and dog.  What pet do you have?,"That's sweet, I wish I had a pet.",self-contradiction,structure,
not sure when he shakes his leg it hurts,The only way I can see him is if I go visit him. His arm hurts too much to drive.,self-contradiction,lexical,Missing Context
i like thai food the most,I don't hate fashion and Thai food,self-contradiction,antonymy,
I have never thought of that. I just finished training so I should be ok for a few years.,Hopefully I will be able to get into a training class soon!,self-contradiction,lexical,
I really like ice cream,"No, I don't care to since I don't care for ice cream. ",self-contradiction,negation,
my favorite coffee is colombian . sometimes i'm bad at my job,"Actually, I'm very good at my job and I love Algerian coffee.",self-contradiction,negation,
That's great! I go there almost every single day and get a bread bowl!,That's because I only visit that place twice a year.,self-contradiction,lexical,
yes . i'm not good at swimming which is a problem sometimes .,I swam in high school,self-contradiction,lexical,
